PlanKey,MonthStartDate,RegionKey,ProductKey,PlanRevenue,PlanCost,PlanBookings
PL202409R01P003,2024-09-01,R01,P003,104585.30,41221.15,18.0
PL202409R01P004,2024-09-01,R01,P004,130712.22,45016.05,18.0
PL202409R01P005,2024-09-01,R01,P005,130842.47,45202.68,16.0
PL202409R01P006,2024-09-01,R01,P006,88885.66,25897.14,49.0
PL202409R01P007,2024-09-01,R01,P007,93397.58,29857.57,39.0
PL202409R01P008,2024-09-01,R01,P008,160387.72,58305.42,15.0
PL202409R02P001,2024-09-01,R02,P001,95932.22,40994.96,35.0
PL202409R02P002,2024-09-01,R02,P002,93106.33,40566.94,23.0
PL202409R02P003,2024-09-01,R02,P003,107808.10,41894.66,18.0
PL202409R02P004,2024-09-01,R02,P004,123256.26,42777.69,17.0
PL202409R02P005,2024-09-01,R02,P005,130276.33,44671.75,16.0
PL202409R02P006,2024-09-01,R02,P006,86991.27,24249.35,48.0
PL202409R02P007,2024-09-01,R02,P007,88858.19,27242.89,37.0
PL202409R02P008,2024-09-01,R02,P008,138362.43,48644.26,13.0
PL202409R03P001,2024-09-01,R03,P001,100538.80,42822.60,36.0
PL202409R03P002,2024-09-01,R03,P002,102932.41,46630.18,26.0
PL202409R03P003,2024-09-01,R03,P003,111858.43,43385.88,19.0
PL202409R03P004,2024-09-01,R03,P004,138556.05,46223.68,19.0
PL202409R03P005,2024-09-01,R03,P005,131170.48,44332.94,16.0
PL202409R03P006,2024-09-01,R03,P006,89808.78,24111.36,50.0
PL202409R03P007,2024-09-01,R03,P007,95683.96,30256.08,40.0
PL202409R03P008,2024-09-01,R03,P008,138878.63,48571.04,13.0
PL202409R04P001,2024-09-01,R04,P001,88350.28,36027.08,32.0
PL202409R04P002,2024-09-01,R04,P002,99554.22,45861.19,25.0
PL202409R04P003,2024-09-01,R04,P003,103010.40,39855.69,17.0
PL202409R04P004,2024-09-01,R04,P004,114007.70,40640.32,16.0
PL202409R04P005,2024-09-01,R04,P005,124004.48,42860.43,16.0
PL202409R04P006,2024-09-01,R04,P006,81862.08,22325.28,45.0
PL202409R04P007,2024-09-01,R04,P007,84050.37,25044.38,35.0
PL202409R04P008,2024-09-01,R04,P008,132859.96,48929.61,12.0
PL202409R05P001,2024-09-01,R05,P001,98155.94,41783.33,36.0
PL202409R05P002,2024-09-01,R05,P002,108638.81,50115.23,27.0
PL202409R05P003,2024-09-01,R05,P003,105721.49,42803.57,18.0
PL202409R05P004,2024-09-01,R05,P004,135106.51,45203.24,19.0
PL202409R05P005,2024-09-01,R05,P005,126568.01,42102.52,16.0
PL202409R05P006,2024-09-01,R05,P006,91696.45,26842.80,51.0
PL202409R05P007,2024-09-01,R05,P007,93509.27,29545.50,39.0
PL202409R05P008,2024-09-01,R05,P008,151336.37,54307.17,14.0
PL202409R06P001,2024-09-01,R06,P001,90808.26,39556.86,33.0
PL202409R06P002,2024-09-01,R06,P002,92437.29,41299.75,23.0
PL202409R06P003,2024-09-01,R06,P003,112489.64,42328.76,19.0
PL202409R06P004,2024-09-01,R06,P004,115157.36,38409.39,16.0
PL202409R06P005,2024-09-01,R06,P005,130263.95,42825.97,16.0
PL202409R06P006,2024-09-01,R06,P006,80811.40,21853.54,45.0
PL202409R06P007,2024-09-01,R06,P007,89490.98,29048.98,38.0
PL202409R06P008,2024-09-01,R06,P008,144999.67,53220.65,14.0
PL202410R01P001,2024-10-01,R01,P001,103879.10,45119.32,38.0
PL202410R01P002,2024-10-01,R01,P002,109493.71,50975.05,27.0
PL202410R01P003,2024-10-01,R01,P003,119284.59,46730.59,20.0
PL202410R01P004,2024-10-01,R01,P004,139538.07,47389.14,19.0
PL202410R01P005,2024-10-01,R01,P005,139558.55,44541.17,17.0
PL202410R01P006,2024-10-01,R01,P006,87595.23,24006.98,49.0
PL202410R01P007,2024-10-01,R01,P007,101012.98,31201.05,43.0
PL202410R01P008,2024-10-01,R01,P008,158009.91,58579.07,15.0
PL202410R02P001,2024-10-01,R02,P001,93061.40,38004.25,34.0
PL202410R02P002,2024-10-01,R02,P002,105713.52,46154.50,26.0
PL202410R02P003,2024-10-01,R02,P003,108162.39,41062.97,18.0
PL202410R02P004,2024-10-01,R02,P004,121382.46,40332.56,17.0
PL202410R02P005,2024-10-01,R02,P005,125792.99,42257.14,16.0
PL202410R02P006,2024-10-01,R02,P006,93696.83,26839.94,52.0
PL202410R02P007,2024-10-01,R02,P007,90129.25,26819.57,38.0
PL202410R02P008,2024-10-01,R02,P008,143866.09,51190.50,14.0
PL202410R03P001,2024-10-01,R03,P001,105047.97,44891.82,38.0
PL202410R03P002,2024-10-01,R03,P002,115460.56,53311.35,29.0
PL202410R03P003,2024-10-01,R03,P003,126958.96,47767.38,22.0
PL202410R03P004,2024-10-01,R03,P004,135361.52,45493.37,19.0
PL202410R03P005,2024-10-01,R03,P005,142843.46,46519.20,18.0
PL202410R03P006,2024-10-01,R03,P006,92518.56,25132.86,51.0
PL202410R03P007,2024-10-01,R03,P007,98759.16,31742.71,42.0
PL202410R03P008,2024-10-01,R03,P008,164596.97,59002.95,15.0
PL202410R04P001,2024-10-01,R04,P001,88173.30,37310.49,32.0
PL202410R04P002,2024-10-01,R04,P002,104326.95,47597.52,26.0
PL202410R04P003,2024-10-01,R04,P003,110435.97,42587.43,19.0
PL202410R04P004,2024-10-01,R04,P004,127281.82,44711.37,18.0
PL202410R04P005,2024-10-01,R04,P005,120711.87,39638.75,15.0
PL202410R04P006,2024-10-01,R04,P006,80362.91,23857.83,45.0
PL202410R04P007,2024-10-01,R04,P007,92892.86,29728.75,39.0
PL202410R04P008,2024-10-01,R04,P008,136458.80,48009.48,13.0
PL202410R05P001,2024-10-01,R05,P001,101331.67,42716.66,37.0
PL202410R05P002,2024-10-01,R05,P002,115346.14,52622.57,29.0
PL202410R05P003,2024-10-01,R05,P003,112263.89,44452.10,19.0
PL202410R05P004,2024-10-01,R05,P004,133882.89,45381.27,19.0
PL202410R05P005,2024-10-01,R05,P005,145112.84,49814.86,18.0
PL202410R05P006,2024-10-01,R05,P006,95682.57,26275.33,53.0
PL202410R05P007,2024-10-01,R05,P007,99329.59,30140.39,42.0
PL202410R05P008,2024-10-01,R05,P008,149701.81,54382.03,14.0
PL202410R06P001,2024-10-01,R06,P001,94029.39,40363.30,34.0
PL202410R06P002,2024-10-01,R06,P002,101681.46,46709.12,25.0
PL202410R06P003,2024-10-01,R06,P003,120477.02,48234.39,20.0
PL202410R06P004,2024-10-01,R06,P004,125047.34,40648.24,17.0
PL202410R06P005,2024-10-01,R06,P005,126161.91,39919.88,16.0
PL202410R06P006,2024-10-01,R06,P006,85929.77,24584.55,48.0
PL202410R06P007,2024-10-01,R06,P007,92400.18,28121.22,39.0
PL202410R06P008,2024-10-01,R06,P008,138238.38,47931.51,13.0
PL202411R01P001,2024-11-01,R01,P001,100109.14,41266.73,36.0
PL202411R01P002,2024-11-01,R01,P002,112219.14,51722.17,28.0
PL202411R01P003,2024-11-01,R01,P003,126625.94,49349.36,21.0
PL202411R01P004,2024-11-01,R01,P004,131944.25,45871.87,18.0
PL202411R01P005,2024-11-01,R01,P005,151485.31,48576.21,19.0
PL202411R01P006,2024-11-01,R01,P006,93950.93,25989.81,52.0
PL202411R01P007,2024-11-01,R01,P007,106632.20,33999.17,45.0
PL202411R01P008,2024-11-01,R01,P008,182831.11,66364.42,17.0
PL202411R02P001,2024-11-01,R02,P001,103240.59,41826.16,37.0
PL202411R02P002,2024-11-01,R02,P002,116703.64,54616.14,29.0
PL202411R02P003,2024-11-01,R02,P003,114763.79,45468.07,19.0
PL202411R02P004,2024-11-01,R02,P004,135702.03,44772.61,19.0
PL202411R02P005,2024-11-01,R02,P005,150167.82,52138.05,19.0
PL202411R02P006,2024-11-01,R02,P006,96358.23,27052.78,53.0
PL202411R02P007,2024-11-01,R02,P007,94263.78,28569.37,40.0
PL202411R02P008,2024-11-01,R02,P008,154328.45,53467.23,15.0
PL202411R03P001,2024-11-01,R03,P001,119497.19,50658.75,43.0
PL202411R03P002,2024-11-01,R03,P002,120206.20,55360.39,30.0
PL202411R03P003,2024-11-01,R03,P003,133099.08,51395.00,23.0
PL202411R03P004,2024-11-01,R03,P004,148143.36,48610.41,21.0
PL202411R03P005,2024-11-01,R03,P005,153401.37,49830.77,19.0
PL202411R03P006,2024-11-01,R03,P006,101818.75,29752.95,56.0
PL202411R03P007,2024-11-01,R03,P007,113084.27,33510.90,48.0
PL202411R03P008,2024-11-01,R03,P008,158274.94,58253.20,15.0
PL202411R04P001,2024-11-01,R04,P001,92817.23,37936.57,34.0
PL202411R04P002,2024-11-01,R04,P002,111552.46,51837.82,28.0
PL202411R04P003,2024-11-01,R04,P003,111486.46,42893.21,19.0
PL202411R04P004,2024-11-01,R04,P004,132503.55,43506.44,18.0
PL202411R04P005,2024-11-01,R04,P005,146710.04,47452.95,18.0
PL202411R04P006,2024-11-01,R04,P006,95151.56,26555.50,53.0
PL202411R04P007,2024-11-01,R04,P007,100370.08,30920.20,42.0
PL202411R04P008,2024-11-01,R04,P008,147913.56,51984.54,14.0
PL202411R05P001,2024-11-01,R05,P001,102665.96,41698.89,37.0
PL202411R05P002,2024-11-01,R05,P002,121559.23,53719.41,30.0
PL202411R05P003,2024-11-01,R05,P003,133636.30,53421.84,23.0
PL202411R05P004,2024-11-01,R05,P004,149939.21,51335.71,21.0
PL202411R05P005,2024-11-01,R05,P005,156615.84,49387.45,20.0
PL202411R05P006,2024-11-01,R05,P006,99830.00,28135.31,55.0
PL202411R05P007,2024-11-01,R05,P007,108610.43,34893.52,46.0
PL202411R05P008,2024-11-01,R05,P008,167899.00,59939.78,16.0
PL202411R06P001,2024-11-01,R06,P001,97908.88,39863.43,36.0
PL202411R06P002,2024-11-01,R06,P002,117758.32,51611.04,30.0
PL202411R06P003,2024-11-01,R06,P003,120581.32,47934.99,20.0
PL202411R06P004,2024-11-01,R06,P004,133495.25,44995.70,18.0
PL202411R06P005,2024-11-01,R06,P005,146438.65,49045.18,18.0
PL202411R06P006,2024-11-01,R06,P006,93837.32,26673.01,52.0
PL202411R06P007,2024-11-01,R06,P007,106938.78,34974.43,45.0
PL202411R06P008,2024-11-01,R06,P008,158870.00,59011.31,15.0
PL202412R01P001,2024-12-01,R01,P001,87837.59,36751.76,32.0
PL202412R01P002,2024-12-01,R01,P002,98000.18,42706.89,25.0
PL202412R01P003,2024-12-01,R01,P003,108733.56,43768.24,18.0
PL202412R01P004,2024-12-01,R01,P004,109924.14,36973.34,15.0
PL202412R01P005,2024-12-01,R01,P005,114964.06,37954.44,14.0
PL202412R01P006,2024-12-01,R01,P006,81671.06,24206.70,45.0
PL202412R01P007,2024-12-01,R01,P007,84916.49,25824.81,36.0
PL202412R01P008,2024-12-01,R01,P008,137665.55,50796.02,13.0
PL202412R02P001,2024-12-01,R02,P001,89270.35,38741.19,32.0
PL202412R02P002,2024-12-01,R02,P002,91591.94,41306.09,23.0
PL202412R02P003,2024-12-01,R02,P003,93097.43,35923.55,16.0
PL202412R02P004,2024-12-01,R02,P004,112351.14,40146.43,16.0
PL202412R02P005,2024-12-01,R02,P005,107960.20,35694.27,14.0
PL202412R02P006,2024-12-01,R02,P006,77229.30,21841.66,43.0
PL202412R02P007,2024-12-01,R02,P007,75629.67,23371.10,32.0
PL202412R02P008,2024-12-01,R02,P008,126020.12,45223.15,12.0
PL202412R03P001,2024-12-01,R03,P001,87615.97,37413.15,32.0
PL202412R03P002,2024-12-01,R03,P002,93522.66,40691.98,23.0
PL202412R03P003,2024-12-01,R03,P003,107571.41,40531.58,18.0
PL202412R03P004,2024-12-01,R03,P004,125038.13,42331.47,17.0
PL202412R03P005,2024-12-01,R03,P005,126755.64,43838.21,16.0
PL202412R03P006,2024-12-01,R03,P006,83879.65,24661.37,46.0
PL202412R03P007,2024-12-01,R03,P007,87441.65,27978.75,37.0
PL202412R03P008,2024-12-01,R03,P008,136257.29,49337.36,13.0
PL202412R04P001,2024-12-01,R04,P001,80553.67,34451.34,29.0
PL202412R04P002,2024-12-01,R04,P002,83309.88,36380.69,21.0
PL202412R04P003,2024-12-01,R04,P003,98006.34,39687.88,17.0
PL202412R04P004,2024-12-01,R04,P004,102202.78,36069.35,14.0
PL202412R04P005,2024-12-01,R04,P005,106765.89,36135.60,13.0
PL202412R04P006,2024-12-01,R04,P006,72387.08,19725.99,40.0
PL202412R04P007,2024-12-01,R04,P007,73587.63,23501.14,31.0
PL202412R04P008,2024-12-01,R04,P008,113862.89,40409.74,11.0
PL202412R05P001,2024-12-01,R05,P001,88796.51,36031.05,32.0
PL202412R05P002,2024-12-01,R05,P002,90260.01,40779.14,23.0
PL202412R05P003,2024-12-01,R05,P003,108840.72,41963.32,18.0
PL202412R05P004,2024-12-01,R05,P004,112654.97,37369.95,16.0
PL202412R05P005,2024-12-01,R05,P005,121532.67,39960.59,15.0
PL202412R05P006,2024-12-01,R05,P006,87162.63,23116.43,48.0
PL202412R05P007,2024-12-01,R05,P007,82722.48,27077.14,35.0
PL202412R05P008,2024-12-01,R05,P008,126488.92,47753.57,12.0
PL202412R06P001,2024-12-01,R06,P001,82674.88,34335.57,30.0
PL202412R06P002,2024-12-01,R06,P002,94301.77,43475.52,24.0
PL202412R06P003,2024-12-01,R06,P003,104518.51,41366.29,18.0
PL202412R06P004,2024-12-01,R06,P004,115621.79,39623.07,16.0
PL202412R06P005,2024-12-01,R06,P005,124750.96,42128.17,16.0
PL202412R06P006,2024-12-01,R06,P006,80246.72,22296.74,44.0
PL202412R06P007,2024-12-01,R06,P007,82785.22,24436.33,35.0
PL202412R06P008,2024-12-01,R06,P008,132888.13,50071.55,12.0
PL202501R01P001,2025-01-01,R01,P001,67134.93,27470.73,24.0
PL202501R01P002,2025-01-01,R01,P002,73443.52,33555.25,18.0
PL202501R01P003,2025-01-01,R01,P003,76407.17,29763.20,13.0
PL202501R01P004,2025-01-01,R01,P004,91075.10,31403.88,13.0
PL202501R01P005,2025-01-01,R01,P005,89535.19,30373.07,11.0
PL202501R01P006,2025-01-01,R01,P006,57675.89,17038.75,32.0
PL202501R01P007,2025-01-01,R01,P007,65056.24,19241.17,27.0
PL202501R01P008,2025-01-01,R01,P008,113428.25,39610.05,11.0
PL202501R02P001,2025-01-01,R02,P001,60730.84,24596.55,22.0
PL202501R02P002,2025-01-01,R02,P002,65439.62,29429.91,16.0
PL202501R02P003,2025-01-01,R02,P003,78504.83,29789.51,13.0
PL202501R02P004,2025-01-01,R02,P004,88118.00,31409.07,12.0
PL202501R02P005,2025-01-01,R02,P005,83884.15,28760.80,11.0
PL202501R02P006,2025-01-01,R02,P006,60001.64,17545.93,33.0
PL202501R02P007,2025-01-01,R02,P007,65431.77,19329.58,28.0
PL202501R02P008,2025-01-01,R02,P008,96625.23,35416.57,9.0
PL202501R03P001,2025-01-01,R03,P001,69452.25,29080.07,25.0
PL202501R03P002,2025-01-01,R03,P002,78984.85,35675.95,20.0
PL202501R03P003,2025-01-01,R03,P003,88772.52,35387.12,15.0
PL202501R03P004,2025-01-01,R03,P004,93802.95,32164.75,13.0
PL202501R03P005,2025-01-01,R03,P005,99376.26,33897.48,12.0
PL202501R03P006,2025-01-01,R03,P006,68135.15,19921.46,38.0
PL202501R03P007,2025-01-01,R03,P007,72971.44,22864.65,31.0
PL202501R03P008,2025-01-01,R03,P008,106084.73,39436.01,10.0
PL202501R04P001,2025-01-01,R04,P001,64821.09,26943.03,24.0
PL202501R04P002,2025-01-01,R04,P002,62775.51,27938.36,16.0
PL202501R04P003,2025-01-01,R04,P003,72023.64,28597.14,12.0
PL202501R04P004,2025-01-01,R04,P004,86569.87,29116.20,12.0
PL202501R04P005,2025-01-01,R04,P005,84719.79,27832.23,11.0
PL202501R04P006,2025-01-01,R04,P006,55933.43,16253.72,31.0
PL202501R04P007,2025-01-01,R04,P007,57609.41,17684.91,24.0
PL202501R04P008,2025-01-01,R04,P008,90328.38,31326.09,8.0
PL202501R05P001,2025-01-01,R05,P001,67668.26,28766.98,25.0
PL202501R05P002,2025-01-01,R05,P002,69653.94,32452.91,17.0
PL202501R05P003,2025-01-01,R05,P003,83937.39,32616.28,14.0
PL202501R05P004,2025-01-01,R05,P004,95891.74,32879.95,13.0
PL202501R05P005,2025-01-01,R05,P005,96853.30,33257.74,12.0
PL202501R05P006,2025-01-01,R05,P006,61896.99,18049.47,34.0
PL202501R05P007,2025-01-01,R05,P007,63257.78,20669.19,27.0
PL202501R05P008,2025-01-01,R05,P008,99095.97,36760.31,9.0
PL202501R06P001,2025-01-01,R06,P001,66150.16,28133.23,24.0
PL202501R06P002,2025-01-01,R06,P002,66764.90,30832.28,17.0
PL202501R06P003,2025-01-01,R06,P003,77296.50,29029.18,13.0
PL202501R06P004,2025-01-01,R06,P004,82424.34,27695.99,11.0
PL202501R06P005,2025-01-01,R06,P005,87692.45,28879.58,11.0
PL202501R06P006,2025-01-01,R06,P006,63100.71,18159.55,35.0
PL202501R06P007,2025-01-01,R06,P007,59568.54,18617.89,25.0
PL202501R06P008,2025-01-01,R06,P008,103348.43,36430.82,10.0
PL202502R01P001,2025-02-01,R01,P001,73727.23,30642.73,27.0
PL202502R01P002,2025-02-01,R01,P002,74113.88,32296.10,19.0
PL202502R01P003,2025-02-01,R01,P003,86480.88,34183.95,15.0
PL202502R01P004,2025-02-01,R01,P004,93360.82,30664.56,13.0
PL202502R01P005,2025-02-01,R01,P005,95649.27,32497.57,12.0
PL202502R01P006,2025-02-01,R01,P006,70724.63,20321.02,39.0
PL202502R01P007,2025-02-01,R01,P007,67487.70,21278.72,28.0
PL202502R01P008,2025-02-01,R01,P008,120934.40,41798.77,11.0
PL202502R02P001,2025-02-01,R02,P001,73671.42,31915.65,27.0
PL202502R02P002,2025-02-01,R02,P002,76987.60,34653.15,19.0
PL202502R02P003,2025-02-01,R02,P003,85169.55,32668.18,14.0
PL202502R02P004,2025-02-01,R02,P004,94757.29,33624.96,13.0
PL202502R02P005,2025-02-01,R02,P005,104526.85,36297.19,13.0
PL202502R02P006,2025-02-01,R02,P006,68361.99,19582.77,38.0
PL202502R02P007,2025-02-01,R02,P007,71739.24,23068.33,30.0
PL202502R02P008,2025-02-01,R02,P008,103137.92,36317.38,10.0
PL202502R03P001,2025-02-01,R03,P001,78955.00,32549.34,29.0
PL202502R03P002,2025-02-01,R03,P002,89230.10,38832.41,22.0
PL202502R03P003,2025-02-01,R03,P003,94772.80,35732.94,16.0
PL202502R03P004,2025-02-01,R03,P004,97163.13,34372.95,13.0
PL202502R03P005,2025-02-01,R03,P005,107833.46,36994.08,14.0
PL202502R03P006,2025-02-01,R03,P006,70005.98,19282.07,39.0
PL202502R03P007,2025-02-01,R03,P007,73208.51,22863.50,31.0
PL202502R03P008,2025-02-01,R03,P008,120747.26,41844.34,11.0
PL202502R04P001,2025-02-01,R04,P001,73036.83,31093.21,27.0
PL202502R04P002,2025-02-01,R04,P002,78868.07,35931.46,20.0
PL202502R04P003,2025-02-01,R04,P003,83675.37,31606.68,14.0
PL202502R04P004,2025-02-01,R04,P004,86593.49,30771.64,12.0
PL202502R04P005,2025-02-01,R04,P005,96621.07,32777.85,12.0
PL202502R04P006,2025-02-01,R04,P006,64095.32,18225.67,36.0
PL202502R04P007,2025-02-01,R04,P007,64498.23,19813.30,27.0
PL202502R04P008,2025-02-01,R04,P008,96198.33,34781.88,9.0
PL202502R05P001,2025-02-01,R05,P001,73089.77,31593.60,27.0
PL202502R05P002,2025-02-01,R05,P002,80149.25,35781.49,20.0
PL202502R05P003,2025-02-01,R05,P003,84201.02,32895.29,14.0
PL202502R05P004,2025-02-01,R05,P004,102054.17,35737.16,14.0
PL202502R05P005,2025-02-01,R05,P005,105213.93,35432.23,13.0
PL202502R05P006,2025-02-01,R05,P006,68881.18,20285.02,38.0
PL202502R05P007,2025-02-01,R05,P007,68628.76,20569.87,29.0
PL202502R05P008,2025-02-01,R05,P008,112305.66,39281.63,11.0
PL202502R06P001,2025-02-01,R06,P001,70606.91,29306.31,26.0
PL202502R06P002,2025-02-01,R06,P002,75108.63,32712.25,19.0
PL202502R06P003,2025-02-01,R06,P003,86240.18,32855.86,15.0
PL202502R06P004,2025-02-01,R06,P004,89728.16,29195.30,12.0
PL202502R06P005,2025-02-01,R06,P005,99348.94,32088.13,12.0
PL202502R06P006,2025-02-01,R06,P006,64598.34,19008.37,36.0
PL202502R06P007,2025-02-01,R06,P007,65581.77,20407.12,28.0
PL202502R06P008,2025-02-01,R06,P008,100470.26,36866.41,9.0
PL202503R01P001,2025-03-01,R01,P001,77965.99,33208.61,28.0
PL202503R01P002,2025-03-01,R01,P002,90550.10,41160.19,23.0
PL202503R01P003,2025-03-01,R01,P003,94847.15,36925.44,16.0
PL202503R01P004,2025-03-01,R01,P004,109421.32,36843.27,15.0
PL202503R01P005,2025-03-01,R01,P005,110948.89,36398.87,14.0
PL202503R01P006,2025-03-01,R01,P006,75500.09,20186.51,42.0
PL202503R01P007,2025-03-01,R01,P007,84888.13,27325.77,36.0
PL202503R01P008,2025-03-01,R01,P008,126574.77,45855.39,12.0
PL202503R02P001,2025-03-01,R02,P001,81733.52,33348.03,30.0
PL202503R02P002,2025-03-01,R02,P002,80283.50,35868.87,20.0
PL202503R02P003,2025-03-01,R02,P003,97491.38,38526.41,17.0
PL202503R02P004,2025-03-01,R02,P004,106034.25,37318.55,15.0
PL202503R02P005,2025-03-01,R02,P005,116649.48,37255.48,15.0
PL202503R02P006,2025-03-01,R02,P006,76981.82,22188.70,43.0
PL202503R02P007,2025-03-01,R02,P007,78991.79,23928.66,33.0
PL202503R02P008,2025-03-01,R02,P008,116423.03,41931.71,11.0
PL202503R03P001,2025-03-01,R03,P001,92105.95,38785.32,33.0
PL202503R03P002,2025-03-01,R03,P002,101575.73,44816.96,25.0
PL202503R03P003,2025-03-01,R03,P003,97680.37,36679.80,17.0
PL202503R03P004,2025-03-01,R03,P004,124298.85,42580.87,17.0
PL202503R03P005,2025-03-01,R03,P005,121009.42,42075.16,15.0
PL202503R03P006,2025-03-01,R03,P006,86753.40,24706.08,48.0
PL202503R03P007,2025-03-01,R03,P007,85427.86,26894.23,36.0
PL202503R03P008,2025-03-01,R03,P008,133860.50,47156.32,13.0
PL202503R04P001,2025-03-01,R04,P001,78942.30,32026.43,29.0
PL202503R04P002,2025-03-01,R04,P002,84582.14,37018.38,21.0
PL202503R04P003,2025-03-01,R04,P003,87441.68,34899.92,15.0
PL202503R04P004,2025-03-01,R04,P004,98717.69,33644.99,14.0
PL202503R04P005,2025-03-01,R04,P005,112948.77,38562.58,14.0
PL202503R04P006,2025-03-01,R04,P006,76276.50,20469.44,42.0
PL202503R04P007,2025-03-01,R04,P007,77906.67,24014.01,33.0
PL202503R04P008,2025-03-01,R04,P008,108958.94,40192.64,10.0
PL202503R05P001,2025-03-01,R05,P001,89576.66,37827.61,33.0
PL202503R05P002,2025-03-01,R05,P002,92430.11,43043.45,23.0
PL202503R05P003,2025-03-01,R05,P003,99322.03,38068.25,17.0
PL202503R05P004,2025-03-01,R05,P004,115193.46,40460.68,16.0
PL202503R05P005,2025-03-01,R05,P005,125362.28,42851.64,16.0
PL202503R05P006,2025-03-01,R05,P006,76172.52,20218.09,42.0
PL202503R05P007,2025-03-01,R05,P007,81432.22,25598.69,34.0
PL202503R05P008,2025-03-01,R05,P008,125834.38,44349.39,12.0
PL202503R06P001,2025-03-01,R06,P001,77470.59,31955.02,28.0
PL202503R06P002,2025-03-01,R06,P002,82221.22,36819.43,21.0
PL202503R06P003,2025-03-01,R06,P003,101664.49,39382.48,17.0
PL202503R06P004,2025-03-01,R06,P004,100420.66,33745.23,14.0
PL202503R06P005,2025-03-01,R06,P005,114505.04,37433.22,14.0
PL202503R06P006,2025-03-01,R06,P006,70837.68,19983.74,39.0
PL202503R06P007,2025-03-01,R06,P007,75344.87,24274.11,32.0
PL202503R06P008,2025-03-01,R06,P008,117687.82,43841.40,11.0
PL202504R01P001,2025-04-01,R01,P001,86002.84,35182.17,31.0
PL202504R01P002,2025-04-01,R01,P002,98180.05,44053.00,25.0
PL202504R01P003,2025-04-01,R01,P003,97920.25,39428.31,17.0
PL202504R01P004,2025-04-01,R01,P004,113452.92,38204.70,16.0
PL202504R01P005,2025-04-01,R01,P005,120616.14,38145.48,15.0
PL202504R01P006,2025-04-01,R01,P006,85620.59,24950.67,47.0
PL202504R01P007,2025-04-01,R01,P007,87959.79,27499.46,37.0
PL202504R01P008,2025-04-01,R01,P008,146798.07,55212.92,14.0
PL202504R02P001,2025-04-01,R02,P001,81947.21,33323.93,30.0
PL202504R02P002,2025-04-01,R02,P002,93672.05,41776.51,23.0
PL202504R02P003,2025-04-01,R02,P003,106940.42,41496.89,18.0
PL202504R02P004,2025-04-01,R02,P004,119394.87,40262.58,17.0
PL202504R02P005,2025-04-01,R02,P005,123511.20,39788.82,15.0
PL202504R02P006,2025-04-01,R02,P006,75792.04,20640.21,42.0
PL202504R02P007,2025-04-01,R02,P007,76703.03,24631.12,32.0
PL202504R02P008,2025-04-01,R02,P008,128638.42,46776.78,12.0
PL202504R03P001,2025-04-01,R03,P001,94474.52,41358.39,34.0
PL202504R03P002,2025-04-01,R03,P002,107912.55,49348.32,27.0
PL202504R03P003,2025-04-01,R03,P003,108423.86,42446.09,18.0
PL202504R03P004,2025-04-01,R03,P004,126463.52,42441.10,18.0
PL202504R03P005,2025-04-01,R03,P005,133367.39,45536.36,17.0
PL202504R03P006,2025-04-01,R03,P006,84556.54,23585.29,47.0
PL202504R03P007,2025-04-01,R03,P007,96874.49,31646.29,41.0
PL202504R03P008,2025-04-01,R03,P008,149873.40,54302.34,14.0
PL202504R04P001,2025-04-01,R04,P001,78052.53,33486.83,28.0
PL202504R04P002,2025-04-01,R04,P002,92090.41,42154.57,23.0
PL202504R04P003,2025-04-01,R04,P003,94240.42,37600.43,16.0
PL202504R04P004,2025-04-01,R04,P004,102451.31,34776.33,14.0
PL202504R04P005,2025-04-01,R04,P005,121473.73,40121.46,15.0
PL202504R04P006,2025-04-01,R04,P006,73213.38,21365.91,41.0
PL202504R04P007,2025-04-01,R04,P007,84121.09,27380.17,35.0
PL202504R04P008,2025-04-01,R04,P008,123874.20,43400.44,12.0
PL202504R05P001,2025-04-01,R05,P001,91637.33,39286.33,33.0
PL202504R05P002,2025-04-01,R05,P002,100546.29,44345.47,25.0
PL202504R05P003,2025-04-01,R05,P003,111496.11,43660.08,19.0
PL202504R05P004,2025-04-01,R05,P004,115620.00,38200.97,16.0
PL202504R05P005,2025-04-01,R05,P005,121789.95,40964.75,15.0
PL202504R05P006,2025-04-01,R05,P006,85591.58,25438.45,47.0
PL202504R05P007,2025-04-01,R05,P007,90145.00,28113.37,38.0
PL202504R05P008,2025-04-01,R05,P008,135515.99,50079.73,13.0
PL202504R06P001,2025-04-01,R06,P001,81965.30,35482.44,30.0
PL202504R06P002,2025-04-01,R06,P002,95238.09,43099.27,24.0
PL202504R06P003,2025-04-01,R06,P003,107817.79,43642.47,18.0
PL202504R06P004,2025-04-01,R06,P004,120303.87,43053.20,17.0
PL202504R06P005,2025-04-01,R06,P005,115803.08,39318.11,15.0
PL202504R06P006,2025-04-01,R06,P006,79469.53,22021.57,44.0
PL202504R06P007,2025-04-01,R06,P007,84023.40,26283.32,35.0
PL202504R06P008,2025-04-01,R06,P008,132092.33,48801.29,12.0
PL202505R01P001,2025-05-01,R01,P001,97104.77,39445.01,35.0
PL202505R01P002,2025-05-01,R01,P002,99929.00,46548.75,25.0
PL202505R01P003,2025-05-01,R01,P003,107663.89,43761.26,18.0
PL202505R01P004,2025-05-01,R01,P004,121678.61,41497.80,17.0
PL202505R01P005,2025-05-01,R01,P005,133670.81,42159.52,17.0
