OpportunityKey,CampaignKey,CreatedDate,ExpectedCloseDate,CustomerKey,SalesRepKey,RegionKey,PrimaryProductKey,SalesStage,StageProbability,OpportunityAmount,WeightedPipeline,LostReason,NextStepMissing
OP00230,CA00230,2024-02-07,2024-05-03,C022,S011,R05,P003,Prospecting,0.1500,249945.37,37491.81,,False
OP00231,CA00231,2024-03-03,2024-05-07,C001,S012,R06,P007,Prospecting,0.1500,293179.72,43976.96,,False
OP00232,CA00232,2024-03-19,2024-05-01,C002,S011,R05,P003,Proposal,0.5500,593524.73,326438.60,,False
OP00233,CA00233,2024-02-14,2024-05-01,C005,S001,R01,P008,Closed Won,1.0000,367975.70,367975.70,,False
OP00234,CA00234,2024-04-15,2024-05-02,C023,S012,R06,P006,Prospecting,0.1500,26980.15,4047.02,,False
OP00235,CA00235,2024-04-01,2024-05-05,C008,S006,R06,P006,Proposal,0.5500,72378.39,39808.12,,False
OP00236,CA00236,2024-05-02,2024-05-19,C027,S007,R01,P008,Closed Lost,0.0000,221632.26,0.00,Budget Frozen,False
OP00237,CA00237,2024-02-07,2024-04-17,C008,S007,R01,P004,Qualified,0.3000,332201.67,99660.50,,False
OP00238,CA00238,2024-02-19,2024-05-07,C012,S003,R03,P008,Prospecting,0.1500,134795.17,20219.28,,False
OP00239,CA00239,2024-04-22,2024-05-09,C029,S010,R04,P006,Prospecting,0.1500,25128.89,3769.33,,False
OP00240,CA00240,2024-03-11,2024-04-28,C005,S001,R01,P008,Prospecting,0.1500,132751.79,19912.77,,False
OP00241,CA00241,2024-03-31,2024-05-18,C009,S009,R03,P006,Closed Won,1.0000,22619.28,22619.28,,True
OP00242,CA00242,2024-04-01,2024-04-30,C014,S006,R06,P004,Qualified,0.3000,79205.78,23761.73,,False
OP00243,CA00243,2024-03-11,2024-04-15,C007,S005,R05,P006,Proposal,0.5500,80504.02,44277.21,,False
OP00244,CA00244,2024-02-28,2024-05-07,C016,S008,R02,P008,Closed Lost,0.0000,255487.86,0.00,Budget Frozen,False
OP00245,CA00245,2024-02-23,2024-04-25,C002,S011,R05,P008,Negotiation,0.7200,819818.40,590269.25,,False
OP00246,CA00246,2024-04-03,2024-05-23,C023,S003,R03,P007,Prospecting,0.1500,46587.10,6988.06,,False
OP00247,CA00247,2024-04-21,2024-05-08,C014,S010,R04,P006,Proposal,0.5500,23006.80,12653.74,,True
OP00248,CA00248,2024-03-31,2024-05-02,C015,S008,R02,P007,Closed Won,1.0000,62003.95,62003.95,,False
OP00249,CA00249,2024-02-17,2024-05-11,C019,S002,R02,P006,Closed Won,1.0000,24756.51,24756.51,,False
OP00250,CA00250,2024-03-09,2024-05-13,C017,S008,R02,P008,Qualified,0.3000,786824.95,236047.49,,True
OP00251,CA00251,2024-02-29,2024-04-23,C012,S005,R05,P001,Proposal,0.5500,71419.16,39280.54,,True
OP00252,CA00252,2024-02-10,2024-05-09,C001,S001,R01,P003,Proposal,0.5500,334536.64,183995.15,,True
OP00253,CA00253,2024-03-18,2024-05-11,C025,S004,R04,P004,Proposal,0.5500,761718.37,418945.10,,True
OP00254,CA00254,2024-03-25,2024-04-21,C026,S005,R05,P008,Qualified,0.3000,844282.15,253284.65,,False
OP00255,CA00255,2024-04-15,2024-05-07,C006,S001,R01,P001,Prospecting,0.1500,73943.00,11091.45,,False
OP00256,CA00256,2024-01-23,2024-04-14,C008,S003,R03,P006,Closed Won,1.0000,62263.14,62263.14,,False
OP00257,CA00257,2024-02-01,2024-04-27,C005,S012,R06,P008,Proposal,0.5500,175430.61,96486.84,,False
OP00258,CA00258,2024-03-08,2024-05-03,C003,S004,R04,P003,Closed Won,1.0000,82688.18,82688.18,,False
OP00259,CA00259,2024-02-13,2024-04-28,C014,S005,R05,P002,Prospecting,0.1500,185789.46,27868.42,,False
OP00260,CA00260,2024-04-09,2024-05-03,C015,S001,R01,P003,Closed Won,1.0000,102658.20,102658.20,,False
OP00261,CA00261,2024-03-28,2024-05-09,C009,S012,R06,P005,Qualified,0.3000,79986.24,23995.87,,False
OP00262,CA00262,2024-04-07,2024-04-22,C006,S007,R01,P003,Closed Won,1.0000,150088.53,150088.53,,False
OP00263,CA00263,2024-02-11,2024-04-13,C024,S005,R05,P006,Negotiation,0.7200,14552.56,10477.84,,False
OP00264,CA00264,2024-02-16,2024-05-04,C020,S001,R01,P006,Negotiation,0.7200,66260.41,47707.49,,False
OP00265,CA00265,2024-03-23,2024-06-08,C007,S001,R01,P007,Negotiation,0.7200,527819.96,380030.37,,False
OP00266,CA00266,2024-03-04,2024-05-18,C025,S008,R02,P008,Qualified,0.3000,116872.67,35061.80,,False
OP00267,CA00267,2024-03-23,2024-05-30,C006,S010,R04,P004,Closed Won,1.0000,236930.28,236930.28,,False
OP00268,CA00268,2024-03-16,2024-05-23,C027,S011,R05,P008,Closed Lost,0.0000,420398.40,0.00,Price,True
OP00269,CA00269,2024-05-09,2024-06-15,C022,S001,R01,P001,Closed Lost,0.0000,18354.15,0.00,Timing,True
OP00270,CA00270,2024-04-03,2024-05-24,C015,S009,R03,P004,Proposal,0.5500,130173.52,71595.44,,False
OP00271,CA00271,2024-05-02,2024-05-23,C005,S003,R03,P005,Proposal,0.5500,300073.86,165040.62,,False
OP00272,CA00272,2024-06-01,2024-06-25,C022,S007,R01,P007,Proposal,0.5500,34097.40,18753.57,,False
OP00273,CA00273,2024-03-07,2024-05-21,C004,S007,R01,P004,Prospecting,0.1500,149881.51,22482.23,,False
OP00274,CA00274,2024-04-21,2024-05-25,C014,S005,R05,P003,Closed Lost,0.0000,221238.93,0.00,Price,False
OP00275,CA00275,2024-03-16,2024-05-21,C010,S004,R04,P007,Prospecting,0.1500,47066.60,7059.99,,False
OP00276,CA00276,2024-05-08,2024-06-05,C030,S004,R04,P007,Closed Won,1.0000,105724.00,105724.00,,False
OP00277,CA00277,2024-02-26,2024-05-19,C030,S001,R01,P004,Prospecting,0.1500,93498.34,14024.75,,False
OP00278,CA00278,2024-03-30,2024-06-11,C024,S004,R04,P007,Qualified,0.3000,92515.63,27754.69,,False
OP00279,CA00279,2024-04-11,2024-05-18,C013,S007,R01,P004,Qualified,0.3000,32530.12,9759.04,,False
OP00280,CA00280,2024-03-21,2024-06-02,C003,S008,R02,P007,Prospecting,0.1500,142154.10,21323.12,,True
OP00281,CA00281,2024-04-05,2024-06-21,C014,S006,R06,P005,Prospecting,0.1500,105003.27,15750.49,,False
OP00282,CA00282,2024-04-04,2024-05-18,C018,S010,R04,P001,Qualified,0.3000,38230.16,11469.05,,False
OP00283,CA00283,2024-03-14,2024-05-17,C014,S004,R04,P003,Qualified,0.3000,347351.80,104205.54,,False
OP00284,CA00284,2024-05-06,2024-05-20,C012,S005,R05,P007,Prospecting,0.1500,66446.86,9967.03,,False
OP00285,CA00285,2024-03-11,2024-05-17,C006,S005,R05,P007,Closed Won,1.0000,77941.48,77941.48,,False
OP00286,CA00286,2024-04-20,2024-06-11,C012,S011,R05,P002,Qualified,0.3000,94031.25,28209.38,,False
OP00287,CA00287,2024-03-19,2024-06-05,C014,S004,R04,P002,Prospecting,0.1500,34793.43,5219.01,,False
OP00288,CA00288,2024-03-21,2024-05-23,C013,S011,R05,P005,Proposal,0.5500,743972.18,409184.70,,False
OP00289,CA00289,2024-05-07,2024-05-27,C012,S003,R03,P004,Proposal,0.5500,132287.62,72758.19,,False
OP00290,CA00290,2024-04-30,2024-06-07,C027,S002,R02,P002,Negotiation,0.7200,54384.28,39156.68,,False
OP00291,CA00291,2024-04-17,2024-05-30,C028,S007,R01,P008,Prospecting,0.1500,224805.87,33720.88,,False
OP00292,CA00292,2024-04-06,2024-05-11,C015,S001,R01,P008,Closed Won,1.0000,191666.97,191666.97,,False
OP00293,CA00293,2024-03-29,2024-06-02,C007,S001,R01,P003,Prospecting,0.1500,66078.50,9911.77,,False
OP00294,CA00294,2024-05-06,2024-05-27,C027,S001,R01,P003,Prospecting,0.1500,57219.73,8582.96,,False
OP00295,CA00295,2024-04-26,2024-05-16,C030,S012,R06,P004,Prospecting,0.1500,155848.95,23377.34,,True
OP00296,CA00296,2024-03-19,2024-05-29,C015,S003,R03,P007,Closed Won,1.0000,83791.22,83791.22,,False
OP00297,CA00297,2024-03-15,2024-05-15,C018,S003,R03,P002,Qualified,0.3000,68648.57,20594.57,,False
OP00298,CA00298,2024-04-04,2024-05-11,C012,S009,R03,P004,Closed Lost,0.0000,509451.95,0.00,Budget Frozen,True
OP00299,CA00299,2024-03-29,2024-06-06,C010,S012,R06,P001,Closed Won,1.0000,32673.47,32673.47,,True
OP00300,CA00300,2024-04-01,2024-06-06,C014,S006,R06,P002,Closed Won,1.0000,194281.77,194281.77,,False
OP00301,CA00301,2024-04-18,2024-05-26,C010,S012,R06,P007,Qualified,0.3000,68028.64,20408.59,,False
OP00302,CA00302,2024-04-10,2024-05-17,C016,S002,R02,P006,Proposal,0.5500,26790.68,14734.87,,False
OP00303,CA00303,2024-03-13,2024-06-03,C019,S005,R05,P004,Qualified,0.3000,119516.36,35854.91,,True
OP00304,CA00304,2024-05-10,2024-06-05,C013,S008,R02,P005,Negotiation,0.7200,149331.47,107518.66,,False
OP00305,CA00305,2024-02-26,2024-05-13,C002,S005,R05,P003,Proposal,0.5500,224154.85,123285.17,,False
OP00306,CA00306,2024-05-19,2024-06-06,C004,S012,R06,P001,Prospecting,0.1500,26582.50,3987.38,,False
OP00307,CA00307,2024-03-12,2024-06-10,C004,S010,R04,P002,Proposal,0.5500,443665.95,244016.27,,False
OP00308,CA00308,2024-05-17,2024-06-02,C005,S006,R06,P003,Prospecting,0.1500,17473.05,2620.96,,False
OP00309,CA00309,2024-05-04,2024-05-31,C008,S010,R04,P005,Qualified,0.3000,317434.14,95230.24,,False
OP00310,CA00310,2024-05-07,2024-05-31,C016,S012,R06,P007,Closed Lost,0.0000,2577.12,0.00,Price,False
OP00311,CA00311,2024-03-03,2024-05-29,C016,S004,R04,P006,Negotiation,0.7200,30357.75,21857.58,,False
OP00312,CA00312,2024-03-26,2024-05-18,C022,S006,R06,P005,Closed Won,1.0000,352807.83,352807.83,,False
OP00313,CA00313,2024-03-08,2024-06-03,C002,S004,R04,P002,Prospecting,0.1500,165556.57,24833.49,,False
OP00314,CA00314,2024-03-07,2024-05-15,C005,S005,R05,P008,Closed Won,1.0000,35752.96,35752.96,,False
OP00315,CA00315,2024-05-13,2024-06-03,C029,S004,R04,P004,Closed Won,1.0000,372032.42,372032.42,,False
OP00316,CA00316,2024-04-11,2024-05-09,C025,S008,R02,P001,Negotiation,0.7200,129887.48,93518.98,,False
OP00317,CA00317,2024-05-07,2024-05-26,C009,S005,R05,P005,Negotiation,0.7200,138483.87,99708.39,,False
OP00318,CA00318,2024-03-22,2024-05-30,C025,S006,R06,P001,Qualified,0.3000,29343.44,8803.03,,False
OP00319,CA00319,2024-03-05,2024-05-21,C030,S011,R05,P002,Qualified,0.3000,120791.59,36237.48,,False
OP00320,CA00320,2024-04-20,2024-05-25,C028,S008,R02,P007,Prospecting,0.1500,150467.86,22570.18,,False
OP00321,CA00321,2024-05-19,2024-06-02,C012,S004,R04,P004,Proposal,0.5500,378572.12,208214.67,,False
OP00322,CA00322,2024-04-01,2024-05-30,C004,S005,R05,P005,Closed Won,1.0000,445325.98,445325.98,,False
OP00323,CA00323,2024-05-09,2024-05-23,C025,S004,R04,P003,Proposal,0.5500,237701.82,130736.00,,False
OP00324,CA00324,2024-03-17,2024-05-26,C004,S005,R05,P002,Closed Lost,0.0000,177910.59,0.00,Timing,False
OP00325,CA00325,2024-03-12,2024-05-26,C012,S008,R02,P007,Closed Lost,0.0000,89231.35,0.00,Competitor,False
OP00326,CA00326,2024-03-28,2024-06-10,C008,S002,R02,P006,Closed Won,1.0000,8913.57,8913.57,,False
OP00327,CA00327,2024-04-09,2024-05-26,C018,S007,R01,P008,Negotiation,0.7200,425890.01,306640.81,,False
OP00328,CA00328,2024-05-19,2024-06-09,C023,S001,R01,P003,Proposal,0.5500,123793.33,68086.33,,False
OP00329,CA00329,2024-05-24,2024-06-25,C017,S012,R06,P005,Proposal,0.5500,309367.76,170152.27,,True
OP00330,CA00330,2024-04-05,2024-06-26,C017,S006,R06,P002,Closed Won,1.0000,19120.16,19120.16,,False
OP00331,CA00331,2024-05-27,2024-06-26,C016,S003,R03,P001,Proposal,0.5500,78666.84,43266.76,,False
OP00332,CA00332,2024-04-30,2024-06-18,C015,S011,R05,P004,Proposal,0.5500,63333.06,34833.18,,True
OP00333,CA00333,2024-05-07,2024-07-03,C001,S006,R06,P002,Proposal,0.5500,234461.20,128953.66,,False
OP00334,CA00334,2024-04-23,2024-07-05,C030,S010,R04,P002,Prospecting,0.1500,68314.71,10247.21,,False
OP00335,CA00335,2024-05-28,2024-07-06,C009,S004,R04,P002,Closed Won,1.0000,637331.73,637331.73,,False
OP00336,CA00336,2024-05-03,2024-07-07,C008,S005,R05,P008,Qualified,0.3000,52168.18,15650.46,,False
OP00337,CA00337,2024-04-08,2024-07-06,C023,S009,R03,P004,Closed Won,1.0000,116932.67,116932.67,,False
OP00338,CA00338,2024-06-20,2024-07-12,C008,S004,R04,P002,Closed Lost,0.0000,69618.27,0.00,Timing,False
OP00339,CA00339,2024-05-30,2024-07-03,C016,S002,R02,P001,Closed Won,1.0000,28628.88,28628.88,,True
OP00340,CA00340,2024-05-02,2024-07-03,C030,S012,R06,P006,Negotiation,0.7200,9891.76,7122.07,,False
OP00341,CA00341,2024-06-09,2024-07-08,C028,S012,R06,P008,Prospecting,0.1500,736433.47,110465.02,,False
OP00342,CA00342,2024-04-30,2024-07-17,C001,S009,R03,P002,Proposal,0.5500,87196.61,47958.14,,True
OP00343,CA00343,2024-05-11,2024-06-22,C021,S007,R01,P006,Closed Won,1.0000,78315.18,78315.18,,False
OP00344,CA00344,2024-04-25,2024-07-02,C026,S001,R01,P004,Negotiation,0.7200,714313.89,514306.00,,True
OP00345,CA00345,2024-04-15,2024-06-30,C010,S003,R03,P005,Closed Won,1.0000,143982.99,143982.99,,True
OP00346,CA00346,2024-05-06,2024-06-24,C021,S001,R01,P004,Closed Lost,0.0000,109344.07,0.00,Price,True
OP00347,CA00347,2024-05-31,2024-07-21,C008,S005,R05,P008,Closed Won,1.0000,320991.61,320991.61,,False
OP00348,CA00348,2024-05-15,2024-07-03,C006,S003,R03,P002,Closed Won,1.0000,50183.17,50183.17,,False
OP00349,CA00349,2024-06-23,2024-07-06,C007,S004,R04,P008,Closed Lost,0.0000,220992.91,0.00,Timing,False
OP00350,CA00350,2024-04-16,2024-06-29,C001,S010,R04,P006,Proposal,0.5500,33512.14,18431.68,,False
OP00351,CA00351,2024-04-30,2024-06-21,C009,S010,R04,P004,Qualified,0.3000,391233.40,117370.02,,False
OP00352,CA00352,2024-05-28,2024-06-18,C030,S012,R06,P004,Negotiation,0.7200,111995.33,80636.64,,False
OP00353,CA00353,2024-04-16,2024-06-21,C006,S006,R06,P007,Closed Lost,0.0000,83101.52,0.00,Timing,False
OP00354,CA00354,2024-04-30,2024-07-18,C002,S012,R06,P005,Closed Lost,0.0000,66121.37,0.00,Competitor,False
OP00355,CA00355,2024-06-27,2024-07-11,C012,S011,R05,P005,Closed Lost,0.0000,415249.12,0.00,Budget Frozen,False
OP00356,CA00356,2024-04-06,2024-06-08,C030,S008,R02,P007,Proposal,0.5500,464339.53,255386.74,,False
OP00357,CA00357,2024-04-22,2024-07-09,C028,S012,R06,P003,Negotiation,0.7200,109106.92,78556.99,,False
OP00358,CA00358,2024-04-25,2024-06-24,C029,S008,R02,P002,Proposal,0.5500,59362.71,32649.49,,False
OP00359,CA00359,2024-05-12,2024-06-16,C020,S011,R05,P005,Prospecting,0.1500,184473.05,27670.96,,False
OP00360,CA00360,2024-04-17,2024-06-15,C022,S006,R06,P007,Proposal,0.5500,95898.24,52744.03,,False
OP00361,CA00361,2024-06-12,2024-07-17,C027,S001,R01,P001,Proposal,0.5500,16498.49,9074.17,,False
OP00362,CA00362,2024-04-09,2024-07-03,C010,S007,R01,P007,Negotiation,0.7200,111633.59,80376.18,,True
OP00363,CA00363,2024-06-15,2024-06-29,C021,S005,R05,P005,Closed Lost,0.0000,86615.87,0.00,Competitor,False
OP00364,CA00364,2024-05-06,2024-06-14,C005,S005,R05,P007,Closed Won,1.0000,141046.81,141046.81,,False
OP00365,CA00365,2024-04-27,2024-07-19,C003,S007,R01,P001,Prospecting,0.1500,79744.00,11961.60,,False
OP00366,CA00366,2024-04-14,2024-07-01,C002,S011,R05,P007,Proposal,0.5500,22858.32,12572.07,,False
OP00367,CA00367,2024-06-26,2024-07-09,C013,S008,R02,P005,Qualified,0.3000,267863.54,80359.06,,False
OP00368,CA00368,2024-05-03,2024-07-11,C009,S001,R01,P006,Qualified,0.3000,297188.87,89156.66,,False
OP00369,CA00369,2024-04-25,2024-07-09,C006,S009,R03,P005,Proposal,0.5500,591651.26,325408.19,,False
OP00370,CA00370,2024-06-06,2024-06-29,C001,S002,R02,P001,Closed Won,1.0000,70909.76,70909.76,,False
OP00371,CA00371,2024-04-20,2024-07-08,C003,S007,R01,P001,Proposal,0.5500,77391.35,42565.24,,False
OP00372,CA00372,2024-05-31,2024-07-07,C021,S002,R02,P008,Closed Won,1.0000,372742.24,372742.24,,False
OP00373,CA00373,2024-06-05,2024-06-27,C022,S002,R02,P003,Qualified,0.3000,153136.70,45941.01,,False
OP00374,CA00374,2024-05-06,2024-07-11,C027,S002,R02,P006,Negotiation,0.7200,284488.40,204831.64,,False
OP00375,CA00375,2024-05-10,2024-06-17,C022,S009,R03,P003,Prospecting,0.1500,127079.57,19061.94,,False
OP00376,CA00376,2024-05-04,2024-07-05,C014,S001,R01,P007,Proposal,0.5500,58829.92,32356.46,,False
OP00377,CA00377,2024-03-30,2024-06-23,C021,S004,R04,P001,Qualified,0.3000,125180.09,37554.03,,False
OP00378,CA00378,2024-06-01,2024-06-28,C012,S008,R02,P003,Closed Won,1.0000,97245.85,97245.85,,False
OP00379,CA00379,2024-04-30,2024-07-04,C012,S003,R03,P003,Negotiation,0.7200,290945.13,209480.49,,True
OP00380,CA00380,2024-03-23,2024-06-16,C023,S011,R05,P001,Proposal,0.5500,510577.73,280817.75,,False
OP00381,CA00381,2024-05-10,2024-06-27,C002,S003,R03,P007,Negotiation,0.7200,274337.12,197522.73,,True
OP00382,CA00382,2024-04-30,2024-06-29,C006,S011,R05,P001,Negotiation,0.7200,410716.74,295716.05,,False
OP00383,CA00383,2024-06-01,2024-06-24,C020,S007,R01,P008,Proposal,0.5500,404264.24,222345.33,,False
OP00384,CA00384,2024-06-16,2024-07-12,C018,S007,R01,P004,Negotiation,0.7200,16310.60,11743.63,,False
OP00385,CA00385,2024-05-05,2024-07-20,C009,S007,R01,P005,Prospecting,0.1500,961135.16,144170.27,,False
OP00386,CA00386,2024-04-13,2024-07-01,C016,S010,R04,P008,Prospecting,0.1500,78455.28,11768.29,,False
OP00387,CA00387,2024-06-03,2024-07-04,C028,S012,R06,P007,Negotiation,0.7200,97869.91,70466.34,,False
OP00388,CA00388,2024-06-14,2024-07-23,C019,S002,R02,P008,Qualified,0.3000,267614.85,80284.45,,False
OP00389,CA00389,2024-06-03,2024-07-21,C010,S009,R03,P002,Negotiation,0.7200,166803.58,120098.58,,False
OP00390,CA00390,2024-05-28,2024-07-02,C030,S005,R05,P004,Negotiation,0.7200,368480.23,265305.77,,False
OP00391,CA00391,2024-06-11,2024-07-06,C003,S002,R02,P006,Closed Won,1.0000,29785.53,29785.53,,False
OP00392,CA00392,2024-03-21,2024-06-16,C025,S008,R02,P006,Qualified,0.3000,17511.76,5253.53,,False
OP00393,CA00393,2024-05-18,2024-06-11,C022,S001,R01,P007,Closed Lost,0.0000,29984.17,0.00,Competitor,False
OP00394,CA00394,2024-03-21,2024-06-15,C007,S011,R05,P005,Prospecting,0.1500,98797.65,14819.65,,False
OP00395,CA00395,2024-05-09,2024-07-12,C022,S009,R03,P003,Qualified,0.3000,259846.00,77953.80,,False
OP00396,CA00396,2024-05-14,2024-07-12,C029,S004,R04,P007,Qualified,0.3000,5121.41,1536.42,,False
OP00397,CA00397,2024-06-14,2024-07-01,C010,S011,R05,P005,Closed Won,1.0000,68624.32,68624.32,,True
OP00398,CA00398,2024-06-02,2024-07-03,C005,S002,R02,P004,Proposal,0.5500,85585.67,47072.12,,False
OP00399,CA00399,2024-07-28,2024-08-09,C025,S007,R01,P007,Closed Won,1.0000,36322.37,36322.37,,False
OP00400,CA00400,2024-06-27,2024-08-04,C028,S005,R05,P002,Qualified,0.3000,138685.63,41605.69,,True
OP00401,CA00401,2024-06-06,2024-08-03,C018,S001,R01,P005,Closed Lost,0.0000,126932.93,0.00,Budget Frozen,False
OP00402,CA00402,2024-07-26,2024-08-12,C016,S001,R01,P001,Prospecting,0.1500,48751.90,7312.79,,False
OP00403,CA00403,2024-07-23,2024-08-07,C003,S012,R06,P005,Prospecting,0.1500,28103.52,4215.53,,False
OP00404,CA00404,2024-05-17,2024-07-31,C024,S008,R02,P002,Proposal,0.5500,192722.02,105997.11,,False
OP00405,CA00405,2024-06-11,2024-07-29,C010,S001,R01,P005,Prospecting,0.1500,113293.44,16994.02,,False
OP00406,CA00406,2024-08-01,2024-08-15,C004,S004,R04,P003,Qualified,0.3000,11583.83,3475.15,,False
OP00407,CA00407,2024-05-15,2024-07-14,C030,S012,R06,P007,Qualified,0.3000,17550.15,5265.05,,False
OP00408,CA00408,2024-08-13,2024-08-26,C004,S004,R04,P004,Closed Won,1.0000,99171.65,99171.65,,False
OP00409,CA00409,2024-05-20,2024-07-31,C016,S004,R04,P001,Proposal,0.5500,7476.38,4112.01,,False
OP00410,CA00410,2024-07-31,2024-08-14,C020,S012,R06,P001,Closed Won,1.0000,109053.43,109053.43,,False
OP00411,CA00411,2024-06-16,2024-07-21,C023,S006,R06,P008,Proposal,0.5500,37242.27,20483.25,,False
OP00412,CA00412,2024-06-02,2024-08-18,C004,S005,R05,P001,Negotiation,0.7200,68668.67,49441.44,,False
OP00413,CA00413,2024-07-24,2024-08-11,C025,S006,R06,P006,Negotiation,0.7200,13189.24,9496.25,,True
OP00414,CA00414,2024-06-01,2024-08-14,C011,S004,R04,P003,Prospecting,0.1500,100524.10,15078.62,,False
OP00415,CA00415,2024-05-09,2024-07-30,C004,S004,R04,P003,Negotiation,0.7200,61062.80,43965.22,,False
OP00416,CA00416,2024-07-14,2024-07-31,C012,S004,R04,P005,Negotiation,0.7200,402472.49,289780.20,,False
OP00417,CA00417,2024-05-20,2024-07-28,C012,S005,R05,P006,Closed Won,1.0000,31301.68,31301.68,,False
OP00418,CA00418,2024-07-17,2024-08-09,C015,S005,R05,P008,Prospecting,0.1500,114994.27,17249.14,,False
OP00419,CA00419,2024-05-19,2024-08-17,C001,S001,R01,P007,Closed Won,1.0000,44523.73,44523.73,,False
OP00420,CA00420,2024-05-08,2024-07-23,C004,S004,R04,P004,Closed Won,1.0000,199396.10,199396.10,,False
OP00421,CA00421,2024-07-03,2024-07-31,C030,S004,R04,P004,Closed Won,1.0000,243885.52,243885.52,,False
OP00422,CA00422,2024-05-06,2024-07-17,C005,S010,R04,P006,Closed Lost,0.0000,93721.81,0.00,Price,False
OP00423,CA00423,2024-05-11,2024-07-23,C028,S004,R04,P007,Prospecting,0.1500,29014.59,4352.19,,False
OP00424,CA00424,2024-07-04,2024-07-25,C028,S007,R01,P008,Prospecting,0.1500,117509.91,17626.49,,False
OP00425,CA00425,2024-06-01,2024-07-22,C015,S009,R03,P001,Negotiation,0.7200,20767.65,14952.71,,False
OP00426,CA00426,2024-06-19,2024-07-23,C003,S006,R06,P007,Closed Won,1.0000,54400.30,54400.30,,False
OP00427,CA00427,2024-04-20,2024-07-14,C001,S003,R03,P002,Closed Won,1.0000,30232.56,30232.56,,False
OP00428,CA00428,2024-07-10,2024-08-09,C025,S005,R05,P004,Qualified,0.3000,619351.17,185805.35,,False
OP00429,CA00429,2024-05-24,2024-08-13,C002,S001,R01,P006,Prospecting,0.1500,79547.16,11932.07,,False
OP00430,CA00430,2024-06-02,2024-07-26,C026,S011,R05,P004,Prospecting,0.1500,172813.29,25921.99,,False
OP00431,CA00431,2024-05-31,2024-07-18,C026,S011,R05,P005,Qualified,0.3000,87441.45,26232.44,,False
OP00432,CA00432,2024-06-28,2024-07-23,C023,S007,R01,P001,Closed Won,1.0000,74524.72,74524.72,,False
OP00433,CA00433,2024-07-16,2024-07-31,C029,S007,R01,P005,Closed Lost,0.0000,95835.36,0.00,Price,True
OP00434,CA00434,2024-06-07,2024-08-05,C026,S009,R03,P006,Negotiation,0.7200,13354.72,9615.40,,False
OP00435,CA00435,2024-05-15,2024-07-20,C030,S001,R01,P003,Closed Won,1.0000,96144.52,96144.52,,False
OP00436,CA00436,2024-04-21,2024-07-16,C023,S003,R03,P001,Prospecting,0.1500,328115.63,49217.34,,False
OP00437,CA00437,2024-07-12,2024-08-04,C011,S008,R02,P001,Proposal,0.5500,72693.24,39981.28,,False
OP00438,CA00438,2024-06-21,2024-07-14,C008,S002,R02,P005,Negotiation,0.7200,8721.38,6279.40,,True
OP00439,CA00439,2024-06-12,2024-08-02,C003,S011,R05,P005,Negotiation,0.7200,32028.71,23060.67,,False
OP00440,CA00440,2024-07-15,2024-08-08,C016,S009,R03,P003,Negotiation,0.7200,103332.33,74399.28,,False
OP00441,CA00441,2024-05-26,2024-08-04,C010,S003,R03,P007,Proposal,0.5500,24910.01,13700.51,,False
OP00442,CA00442,2024-04-11,2024-07-10,C002,S008,R02,P001,Prospecting,0.1500,811.04,121.66,,False
OP00443,CA00443,2024-06-20,2024-07-20,C025,S009,R03,P007,Proposal,0.5500,43173.18,23745.25,,False
OP00444,CA00444,2024-06-09,2024-08-07,C010,S011,R05,P007,Closed Won,1.0000,72672.71,72672.71,,False
OP00445,CA00445,2024-05-21,2024-07-09,C014,S004,R04,P002,Proposal,0.5500,1650.57,907.81,,False
OP00446,CA00446,2024-05-22,2024-08-07,C002,S004,R04,P003,Proposal,0.5500,65327.80,35930.29,,False
OP00447,CA00447,2024-05-05,2024-07-11,C024,S007,R01,P008,Proposal,0.5500,117410.28,64575.65,,False
OP00448,CA00448,2024-07-11,2024-07-26,C025,S003,R03,P004,Closed Won,1.0000,582044.59,582044.59,,False
OP00449,CA00449,2024-05-09,2024-07-22,C004,S012,R06,P006,Qualified,0.3000,11180.35,3354.11,,False
OP00450,CA00450,2024-06-19,2024-07-29,C027,S005,R05,P002,Negotiation,0.7200,99572.08,71691.90,,False
OP00451,CA00451,2024-07-08,2024-07-28,C018,S009,R03,P005,Closed Won,1.0000,470092.63,470092.63,,False
OP00452,CA00452,2024-06-21,2024-08-02,C017,S001,R01,P003,Closed Won,1.0000,8095.44,8095.44,,False
OP00453,CA00453,2024-07-10,2024-08-10,C011,S011,R05,P004,Qualified,0.3000,56664.52,16999.36,,False
OP00454,CA00454,2024-04-30,2024-07-17,C018,S003,R03,P003,Qualified,0.3000,44280.55,13284.17,,False
OP00455,CA00455,2024-05-25,2024-08-03,C018,S008,R02,P002,Negotiation,0.7200,96423.70,69425.06,,False
OP00456,CA00456,2024-05-26,2024-07-19,C026,S005,R05,P001,Prospecting,0.1500,42085.80,6312.87,,False
OP00457,CA00457,2024-06-30,2024-08-12,C017,S011,R05,P006,Proposal,0.5500,187855.96,103320.78,,False
OP00458,CA00458,2024-07-04,2024-08-15,C027,S012,R06,P001,Prospecting,0.1500,63503.00,9525.45,,False
OP00459,CA00459,2024-07-09,2024-08-03,C006,S005,R05,P008,Closed Won,1.0000,79533.79,79533.79,,True
OP00460,CA00460,2024-05-24,2024-08-06,C028,S002,R02,P002,Prospecting,0.1500,508998.26,76349.74,,False
